reaction,gene,flux
rxn00747_c0,ACIAD_RS01690,0.16859161883751625
rxn00029_c0,ACIAD_RS04265,0.0026820026171730377
rxn09128_c0,ACIAD_RS06240,-0.02078788647330015
rxn02175_c0,ACIAD_RS13050,0.0006705006542934672
rxn02835_c0,ACIAD_RS01775,0.01602932930927715
rxn02774_c0,ACIAD_RS13245,0.0003352503271466298
rxn01575_c0,ACIAD_RS02725,-0.04889845963448028
rxn00555_c0,ACIAD_RS16180,0.026885800590456543
rxn03435_c0,ACIAD_RS14005,-0.04889845963448028
rxn03080_c0,ACIAD_RS16155,0.001341001308586519
rxn00737_c0,ACIAD_RS06255,0.049233709961626904
rxn01256_c0,ACIAD_RS10185,0.05598764085036729
rxn00777_c0,ACIAD_RS06260,-0.09506958627900139
rxn01740_c0,ACIAD_RS01935,-0.06754469846933346
rxn05327_c0,ACIAD_RS14075,-0.07518302368467122
rxn08353_c0,ACIAD_RS00225,0.0003352503271466298
rxn00251_c0,ACIAD_RS16400,0.8257343599189584
rxn00790_c0,ACIAD_RS06080,-0.05348486655393536
rxn03910_c0,ACIAD_RS09185,0.08198195947527429
rxn00237_c0,ACIAD_RS02530,0.07020866364039262
rxn08311_c0,ACIAD_RS06340,0.020787886473300154
rxn08311_c0,ACIAD_RS07665,0.020787886473300154
rxn03175_c0,ACIAD_RS15385,0.016029329309277147
rxn05336_c0,ACIAD_RS04020,-0.04157577294660036
rxn05336_c0,ACIAD_RS02655,-0.04157577294660036
rxn09210_c0,ACIAD_RS14260,0.005196971618325039
rxn00126_c0,ACIAD_RS09370,0.002346752290026407
rxn05340_c0,ACIAD_RS04020,-0.07518302368467121
rxn00299_c0,ACIAD_RS08020,0.0010057509814398891
rxn00299_c0,ACIAD_RS11285,0.0010057509814398891
rxn03159_c0,ACIAD_RS10630,0.006721450147614165
rxn01000_c0,ACIAD_RS10185,0.03124818691190545
rxn01300_c0,ACIAD_RS06735,0.09191855317846608
rxn01300_c0,ACIAD_RS03855,0.09191855317846608
rxn01300_c0,ACIAD_RS15410,0.09191855317846608
rxn00786_c0,ACIAD_RS08865,-0.13673928847327277
rxn03908_c0,ACIAD_RS13100,0.08198195947527429
rxn01100_c0,ACIAD_RS08875,0.46730453012391826
rxn00838_c0,ACIAD_RS05785,0.0423777271729213
rxn00102_c0,ACIAD_RS15315,0.03303567215972549
rxn00102_c0,ACIAD_RS04865,0.03303567215972549
rxn01255_c0,ACIAD_RS09340,0.06754469846933345
rxn05296_c0,ACIAD_RS14525,0.11401712153615254
rxn05296_c0,ACIAD_RS14485,0.11401712153615254
rxn05296_c0,ACIAD_RS13745,0.11401712153615254
rxn05296_c0,ACIAD_RS00765,0.11401712153615254
rxn05296_c0,ACIAD_RS01455,0.11401712153615254
